shooting_type,age_group,race,sex,lat,lng
lethal,20,POC,Male,34.0398,-118.3567
nonlethal,35,POC,Female,34.0455,-118.3479
nonlethal,18,POC,Male,34.0871,-118.3136
lethal,25,POC,Male,34.1119,-118.1963
lethal,55,POC,Male,34.0884,-118.2258
nonlethal,25,POC,Male,34.0465,-118.3486
nonlethal,20,POC,Female,34.1181,-118.2412
nonlethal,45,POC,Male,33.7928,-118.2975
nonlethal,20,POC,Female,34.1069,-118.1923
nonlethal,35,POC,Female,34.1032,-118.3387
nonlethal,25,POC,Male,33.7424,-118.2857
lethal,15,POC,Male,34.1199,-118.1935
nonlethal,45,POC,Male,34.183,-118.4662
nonlethal,30,POC,Male,34.0388,-118.3791
nonlethal,20,POC,Male,34.0416,-118.3836
nonlethal,45,White,Male,34.1847,-118.5441
nonlethal,20,POC,Male,34.0837,-118.3553
nonlethal,18,POC,Male,33.7957,-118.2938
nonlethal,20,POC,Male,34.0935,-118.2878
nonlethal,55,POC,Male,33.7982,-118.283
nonlethal,30,POC,Male,34.128,-118.42
nonlethal,45,POC,Male,33.8315,-118.3038
nonlethal,20,POC,Male,33.7342,-118.2924
lethal,30,POC,Male,34.0782,-118.3463
nonlethal,20,POC,Male,33.741,-118.2838
nonlethal,20,POC,Male,34.1114,-118.4245
nonlethal,25,POC,Male,34.0947,-118.2828
nonlethal,35,POC,Male,34.0997,-118.3387
lethal,15,POC,Female,34.1034,-118.3325
nonlethal,30,POC,Male,33.7948,-118.2694
lethal,45,POC,Male,34.0358,-118.3517
nonlethal,20,POC,Male,33.8163,-118.3046
nonlethal,20,POC,Male,34.0383,-118.3671
nonlethal,10,POC,Male,34.0982,-118.3092
nonlethal,18,POC,Male,34.1939,-118.5317
nonlethal,20,POC,Male,34.0998,-118.3211
nonlethal,30,POC,Male,33.7836,-118.2253
nonlethal,25,White,Female,34.046,-118.3454
nonlethal,45,POC,Male,34.1016,-118.3471
lethal,35,POC,Male,34.1803,-118.5055
nonlethal,18,POC,Female,34.0734,-118.3765
lethal,35,POC,Female,34.128,-118.42
nonlethal,35,POC,Male,34.0454,-118.3213
lethal,45,White,Female,34.1876,-118.4422
nonlethal,35,White,Male,34.1054,-118.2973
nonlethal,18,POC,Male,34.1145,-118.2333
lethal,30,POC,Male,34.2121,-118.4771
nonlethal,20,POC,Male,33.8457,-118.3066
nonlethal,30,POC,Male,34.1921,-118.5284
nonlethal,18,POC,Male,33.8163,-118.3046
nonlethal,55,POC,Male,33.7837,-118.2498
